time	well	yfp	od
4404	A9	36	0.037900001
4404	B9	39	0.170399994
4404	C9	39	0.180299997
4404	D9	43	0.080899999
4404	E9	42	0.075599998
4404	F9	2266	0.086499996
4404	G9	232	0.085699998
4404	H9	37	0.039299998
4404	A10	34	0.0381
4404	B10	36	0.0383
4404	C10	34	0.037799999
4404	D10	36	0.039299998
4404	E10	35	0.037900001
4404	F10	36	0.037599999
4404	G10	38	0.042800002
4404	H10	37	0.039700001
4404	A11	38	0.037999999
4404	B11	33	0.038699999
4404	C11	36	0.037999999
4404	D11	35	0.038600001
4404	E11	35	0.038400002
4404	F11	37	0.0385
4404	G11	36	0.037900001
4404	H11	35	0.039999999
4404	A12	35	0.038899999
4404	B12	35	0.039900001
4404	C12	34	0.0385
4404	D12	34	0.039999999
4404	E12	37	0.0372
4404	F12	35	0.037799999
4404	G12	35	0.035999998
4404	H12	37	0.039700001
5858	A1	35	0.039500002
5858	B1	36	0.039000001
5858	C1	35	0.0385
5858	D1	35	0.0392
5858	E1	35	0.038199998
5858	F1	38	0.038699999
5858	G1	37	0.0396
5858	H1	38	0.038699999
5858	A2	36	0.0385
5858	B2	32	0.039099999
5858	C2	36	0.041299999
5858	D2	36	0.0392
5858	E2	33	0.038600001
5858	F2	35	0.038899999
5858	G2	37	0.039500002
5858	H2	36	0.039799999
5858	A3	37	0.039000001
5858	B3	36	0.0394
5858	C3	37	0.037900001
5858	D3	37	0.039799999
5858	E3	35	0.038400002
5858	F3	39	0.038400002
5858	G3	36	0.039900001
5858	H3	38	0.040600002
5858	A4	36	0.038800001
5858	B4	96	0.191100001
5858	C4	90	0.2095
5858	D4	34	0.398600012
5858	E4	34	0.449400008
5858	F4	20875	0.414299995
5858	G4	2030	0.335799992
5858	H4	38	0.038899999
5858	A5	37	0.039000001
5858	B5	64	0.168699995
5858	C5	63	0.184699997
5858	D5	36	0.250499994
5858	E5	34	0.2764
5858	F5	12517	0.271299988
5858	G5	1823	0.282499999
5858	H5	37	0.0394
5858	A6	34	0.0392
5858	B6	75	0.182500005
5858	C6	72	0.200200006
5858	D6	33	0.34889999
5858	E6	36	0.379299998
5858	F6	16664	0.349799991
5858	G6	1871	0.297600001
5858	H6	38	0.0403
5858	A7	37	0.039099999
5858	B7	106	0.197300002
5858	C7	101	0.217199996
5858	D7	39	0.134200007
5858	E7	42	0.138400003
5858	F7	4411	0.132100001
5858	G7	357	0.134299994
5858	H7	38	0.039799999
5858	A8	38	0.038199998
5858	B8	62	0.175500005
5858	C8	63	0.189899996
5858	D8	38	0.139699996
5858	E8	41	0.136600003
5858	F8	5044	0.142000005
5858	G8	359	0.132200003
5858	H8	38	0.039999999
5858	A9	37	0.038400002
5858	B9	73	0.180600002
5858	C9	70	0.197999999
5858	D9	40	0.120899998
5858	E9	42	0.114200003
5858	F9	4621	0.134599999
5858	G9	365	0.133599997
5858	H9	37	0.0403
5858	A10	32	0.0396
5858	B10	36	0.0392
5858	C10	37	0.039099999
5858	D10	37	0.0405
5858	E10	36	0.038699999
5858	F10	36	0.038600001
5858	G10	38	0.043699998
5858	H10	34	0.040199999
5858	A11	34	0.0394
5858	B11	34	0.040100001
5858	C11	34	0.0392
5858	D11	35	0.0396
5858	E11	36	0.039099999
5858	F11	35	0.0394
5858	G11	37	0.0385
5858	H11	38	0.0403
5858	A12	36	0.0396
5858	B12	34	0.040399998
5858	C12	36	0.039299998
5858	D12	36	0.040199999
5858	E12	37	0.037799999
